customer,supplier,amount,date,region
03483003406,5021011108,35850.0,2011-05-01,0
03483002334,5036032291,1189244.0,2011-08-01,0
03483000744,5022026700,236123.9,2011-06-01,0
03483001036,7729654406,278874.0,2011-03-01,0
03483000572,7724053916,4036797.16,2011-02-01,0
03482000182,5020039630,220912.68,2011-01-01,0
03481000084,7710641153,26400.0,2011-05-01,0
03483003413,5003084664,1842347.57,2011-06-01,0
01482000017,7705919029,12959998.1,2011-01-01,0
01483000082,5003083396,1399997.6,2011-02-01,0
03482000435,501102183479,24743.1,2011-06-01,0
03483000064,5049009571,803518.0,2011-03-01,0
03482000300,000495748668,26950.0,2010-12-01,0
03481000393,1661009251,200000.0,2011-08-01,0
03483001591,7707083893,30000.0,2011-01-01,0
01483000188,507200080377,160000.0,2011-07-01,0
03482000696,5000001317,192378.86,2011-01-01,0
03482000134,7736520080,10896.0,2011-01-01,0
03483002138,5042001196,1077476.03,2011-01-01,0
03483000293,7714822369,6585701.0,2010-12-01,0
03483001499,7707049388,3964.8,2010-01-01,0
03483000292,5027089703,11100.0,2010-01-01,0
01482000023,7709352566,582082.2,2011-03-01,0
03483002206,7706113344,997962.25,2010-11-01,0
01483000061,5000001388,199420.0,2011-03-01,0
03483002291,5042091418,328000.0,2011-06-01,0
03732001978,7728266778,53724.0,2011-08-01,0
03482000411,5000001317,10271.33,2011-01-01,0
03483001599,7713053544,44000.0,2011-04-01,0
03483000283,6726504182,144770.0,2011-04-01,0
03483002216,7202203849,892000.0,2011-05-01,0
03482000593,5045003106,82569.07,2011-08-01,0
03483002498,5071004120,211257.02,2011-01-01,0
01483000337,5042062713,490000.0,2011-08-01,0
03481000430,7729628928,378804.0,2011-03-01,0
01483000102,5049003153,26422.5,2011-08-01,0
03483002612,7736520080,385000.0,2010-12-01,0
03482000317,5020064202,12017.0,2011-09-01,0
03483003023,5017037512,2499817.0,2011-04-01,0
03483003022,5000000017,500000.0,2010-12-01,0
03482000056,7709501909,26700.0,2011-07-01,0
03483002470,5006004321,3491388.0,2011-04-01,0
03482000388,7703539617,54900.0,2011-05-01,0
03483002014,507400096705,117000.0,2011-09-01,0
03483001521,5022068996,158280.0,2011-09-01,0
03483002942,5003016270,152869.0,2011-03-01,0
03481000825,7716001022,570000.0,2011-08-01,0
03483001706,5031075340,292480.0,2009-02-01,0
03732000352,7713655242,243893.0,2011-05-01,0
03482000079,5035022283,18000.0,2010-12-01,0
03483001115,5045032643,402500.0,2011-01-01,0
03481000787,7706202481,28500.0,2011-05-01,0
01483000006,5031034545,420660.0,2010-10-01,0
03482000048,7725047224,499318.6,2011-07-01,0
